country,country_code,year,total_generation,total_co2,total_certified,perc_tracked_total,perc_residual,perc_tracked_renewables,perc_green,residualmix_gco2kwh,methodology
China,CHN,2023,9456.449999999999,5518550.0,62.548253507690006,0.6614348249891875,99.33856517501081,2.1611437108336617,30.605777009342834,,I-REC
China,CHN,2024,10086.880000000001,5623470.0,49.317688405224,0.4889290683067905,99.51107093169321,1.4510195686522716,33.69555303522992,,I-REC
Colombia,COL,2020,77.75,21090.0,3.3219450200000002,4.272598096463023,95.72740190353697,6.540549360110259,65.32475884244371,,I-REC
Colombia,COL,2021,84.36,16520.0,4.260985658,5.050955023707918,94.94904497629209,6.728226208747828,75.07112375533428,,I-REC
Colombia,COL,2022,82.86,16750.0,7.61198938673,9.186566964433986,90.81343303556602,12.35511992652167,74.35433260922038,,I-REC
Colombia,COL,2023,90.42,24320.0,8.203483512139998,9.072642680977658,90.92735731902235,13.752696583637883,65.96991815969918,,I-REC
Colombia,COL,2024,87.51,25010.0,8.37639233455,9.571925876528395,90.4280741234716,14.872855707652697,64.35835904468061,,I-REC
Comoros,COM,2020,0.13,90.0,0,0.0,100.0,,0.0,,GO
Comoros,COM,2021,0.13,90.0,0,0.0,100.0,,0.0,,GO
Comoros,COM,2022,0.14,90.0,0,0.0,100.0,,0.0,,GO
Comoros,COM,2023,0.14,90.0,0,0.0,100.0,,0.0,,GO
Congo,COG,2020,3.9800000000000004,2650.0,0,0.0,100.0,0.0,26.38190954773869,,GO
Congo,COG,2021,4.08,2740.0,0,0.0,100.0,0.0,25.73529411764706,,GO
Congo,COG,2022,4.92,3490.0,0,0.0,100.0,0.0,21.34146341463415,,GO
Congo,COG,2023,5.17,3690.0,0,0.0,100.0,0.0,20.6963249516441,,GO
"Congo, DRC",COD,2020,12.509999999999998,320.0,0.000326,0.0026059152677857717,99.99739408473222,0.0026080000000000005,99.92006394884093,,I-REC
"Congo, DRC",COD,2021,14.21,370.0,0.0012360000000000001,0.008698099929627024,99.99130190007037,0.008698099929627024,100.0,,I-REC
"Congo, DRC",COD,2022,15.329999999999998,420.0,0.0016467790000000001,0.010742198303979128,99.98925780169603,0.010742198303979128,100.0,,I-REC
"Congo, DRC",COD,2023,15.899999999999999,430.0,0.00299415293,0.018831150503144656,99.98116884949685,0.018831150503144656,100.0,,I-REC
"Congo, DRC",COD,2024,0.0,0.0,0.0046143856100000005,,100.0,,,,I-REC
Cook Islands,COK,2020,0.04,20.0,0,0.0,100.0,0.0,25.0,,GO
Cook Islands,COK,2021,0.04,10.0,0,0.0,100.0,0.0,50.0,,GO
Cook Islands,COK,2022,0.04,10.0,0,0.0,100.0,0.0,50.0,,GO
Costa Rica,CRI,2020,11.719999999999999,320.0,0.003139,0.026783276450511945,99.97321672354948,0.02682905982905983,99.82935153583618,,I-REC
Costa Rica,CRI,2021,12.729999999999999,330.0,0.165633,1.301123330714847,98.69887666928516,1.301123330714847,100.0,,I-REC
Costa Rica,CRI,2022,12.44,300.0,0.173265321,1.3928080466237942,98.6071919533762,1.3928080466237942,100.00000000000003,,I-REC
Costa Rica,CRI,2023,11.709999999999999,290.0,0.18171787710600001,1.5518179086763453,98.44818209132366,1.553144248769231,99.91460290350128,,I-REC
Costa Rica,CRI,2024,12.38,780.0,0.297743281709,2.405034585694669,97.59496541430534,2.557931973445017,94.02261712439419,,I-REC
Croatia,HRV,2020,13.23,3000.0,6.654121,50.295699168556304,49.704300831443696,77.82597660818713,64.62585034013605,,GO
Croatia,HRV,2021,15.11,3180.0,8.616303,57.02384513567175,42.97615486432825,81.82623931623931,69.68894771674388,,GO
Croatia,HRV,2022,14.1,3450.0,6.536598,46.35885106382979,53.64114893617021,73.03461452513965,63.47517730496455,,GO
Croatia,HRV,2023,17.23,3400.0,9.091122,52.76333139872315,47.23666860127685,75.63329450915141,69.76204294834591,,GO
Croatia,HRV,2024,15.36,2680.0,8.170189,53.19133463541667,46.80866536458333,73.01330652368185,72.85156250000001,,GO
Cuba,CUB,2020,19.029999999999998,12160.0,0,0.0,100.0,0.0,4.729374671571204,,GO
Cuba,CUB,2021,17.83,11390.0,0,0.0,100.0,0.0,4.43073471676949,,GO
Cuba,CUB,2022,15.649999999999999,10020.0,0,0.0,100.0,0.0,4.281150159744409,,GO
Cuba,CUB,2023,15.290000000000001,9770.0,0,0.0,100.0,0.0,4.708960104643557,,GO
Czech Republic,CZE,2020,0.0,0.0,5.941597,,100.0,,,,GO
Czech Republic,CZE,2021,0.0,0.0,6.068299,,100.0,,,,GO
Czech Republic,CZE,2022,0.0,0.0,6.27891,,100.0,,,,GO
Czech Republic,CZE,2023,0.0,0.0,7.615198,,100.0,,,,GO
Czech Republic,CZE,2024,0.0,0.0,5.689099000000001,,100.0,,,,GO
Czechia,CZE,2020,80.10000000000001,36860.0,0,0.0,100.0,0.0,12.908863920099872,,GO
Czechia,CZE,2021,83.66,39470.0,0,0.0,100.0,0.0,12.71814487210136,,GO
Czechia,CZE,2022,83.72999999999999,40890.0,0,0.0,100.0,0.0,12.862773199570048,,GO
Czechia,CZE,2023,75.81,33550.0,0,0.0,100.0,0.0,14.707822187046565,,GO
Czechia,CZE,2024,73.02,30220.0,0,0.0,100.0,0.0,17.104902766365377,,GO
Côte d'Ivoire,CIV,2020,11.26,4460.0,0,0.0,100.0,0.0,30.550621669627,,GO
Côte d'Ivoire,CIV,2021,11.35,4900.0,0,0.0,100.0,0.0,23.876651982378856,,GO
Côte d'Ivoire,CIV,2022,12.610000000000001,5210.0,0,0.0,100.0,0.0,27.359238699444884,,GO
Côte d'Ivoire,CIV,2023,11.13,4380.0,0,0.0,100.0,0.0,31.08715184186882,,GO
Denmark,DNK,2020,28.58,5400.0,21.577681000000002,75.49923372988104,24.50076627011896,92.01569722814502,82.05038488453464,,GO
Denmark,DNK,2021,32.92,7340.0,22.383448,67.99346294046173,32.006537059538275,85.76033716475095,79.28311057108141,,GO
Denmark,DNK,2022,34.99,7040.0,25.376587,72.52525578736781,27.47474421263219,89.00942476324096,81.48042297799371,,GO
Denmark,DNK,2023,33.71,5050.0,26.15162,77.57822604568378,22.421773954316222,89.16338220252301,87.00682290121627,,GO
Denmark,DNK,2024,35.44,5070.0,29.079606,82.05306433408578,17.946935665914225,93.17400192246073,88.06433408577878,,GO
Djibouti,DJI,2020,0.13,90.0,0,0.0,100.0,,0.0,,GO
Djibouti,DJI,2021,0.2,90.0,0,0.0,100.0,0.0,35.0,,GO
Djibouti,DJI,2022,0.2,90.0,0,0.0,100.0,0.0,35.0,,GO
Djibouti,DJI,2023,0.2,90.0,0,0.0,100.0,0.0,35.0,,GO
Dominica,DMA,2020,0.13999999999999999,80.0,0,0.0,100.0,0.0,14.285714285714288,,GO
Dominica,DMA,2021,0.13999999999999999,80.0,0,0.0,100.0,0.0,14.285714285714288,,GO
Dominica,DMA,2022,0.15,90.0,0,0.0,100.0,0.0,13.333333333333334,,GO
Dominica,DMA,2023,0.15,90.0,0,0.0,100.0,0.0,13.333333333333334,,GO
Dominican Rep,DOM,2020,19.490000000000002,11330.0,0,0.0,100.0,0.0,16.162134427911752,,GO
Dominican Rep,DOM,2021,21.43,11970.0,0.053042,0.2475128324778348,99.75248716752216,1.3921784776902888,17.77881474568362,,I-REC
